"@00111111111100",1.0
"@10000111000110",1.0
"@01110011011001",-0.98
"@10000001001111",-1.0
"@11010000111010",-1.0
"@01010101001010",1.0
"@01010001001101",-1.0
"@11100010101101",-0.75
"@11101011100111",-1.0
"@00001101111101",3.0
"@00011111011010",1.01
"@11000110000011",1.0
"@00110111011101",3.0
"@11100011000101",-0.95
"@10010001110101",-1.1
"@11010110101001",1.58
"@01101100010110",1.0
"@11110110110011",1.0
"@11111101111010",2.0
"@10010110111110",2.0
"@01001110011010",0.99
"@01110001101011",-0.86
"@11011000111111",-1.0
"@01000111110101",1.0
"@11010011100101",-0.95
"@00000101011110",2.0
"@01100011000101",-1.0
"@10111101010110",1.0
"@11101011111111",-1.0
"@10011011111010",-1.44
"@00000001000110",-1.0
"@00000000101100",-1.0
"@10100001101100",-0.91
"@11111011100011",-1.0
"@00010001000101",-1.0
"@11011101101010",2.0
"@01100111111011",2.0
"@01111101010110",1.0
"@01111011110011",-1.0
"@01101111011110",2.0
"@11011100001110",2.0
"@11010011011110",-1.0
"@00000101101101",3.0
"@01010000101010",-0.87
"@11101100010110",1.0
"@00000011101101",-1.0
"@10010010011001",-1.0
"@11001111100011",1.0
"@10101111100101",0.0
"@01000100000110",1.0
"@10010000110011",-1.15
"@01000110010110",1.0
"@11000000011011",-1.0
"@10110011101010",-0.91
"@11110100111001",1.57
"@10010010000110",-1.0
"@11100011111010",-1.0
"@01101011100111",-1.0
"@00001010101100",-2.0
"@00010001110111",-1.0
"@00100000110111",-1.0
"@00111111010011",1.0
"@01101111100110",1.0
"@11000011101111",-1.0
"@11100111001101",3.0
"@11010110001011",1.57
"@10011000011110",-1.0
"@11010000110111",-1.0
"@11111101100111",1.0
"@11011101101110",2.0
"@10011001110011",-1.0
"@11101010001011",-1.01
"@11101110100111",1.0
"@10010101000111",1.0
"@01010000100110",-1.0
"@11000110101100",2.0
"@11101110001110",2.0
"@11101101001010",1.0
"@10110100111011",1.56
"@01010111111010",2.0
"@10010111001001",1.58
"@00011101001101",3.0
"@11011111011111",3.0
"@01110000110111",-1.0
"@11111100001010",2.0
"@01111100000110",1.0
"@11011010101001",-1.47
"@00100111011111",3.0
"@01000010110110",-1.0
"@01101011001111",-1.0
"@11100101101110",2.0
"@00111010000101",-2.0
"@11011010111110",-1.0
"@11001110000110",1.0
"@10011011001010",-1.22
"@01111000110111",-1.0
"@00001110000110",1.0
"@11011001101100",-1.91
"@00000001101010",-0.92
"@01001110111111",3.0
"@10110000011011",-1.0
"@00101111111110",2.0
"@11010010101001",-0.72
"@00010100110101",1.0
"@01010101001011",1.58
"@00111110001001",1.56
"@11110101001111",3.0
"@10000011011111",-1.0
"@10111100000110",1.0
"@00111110110111",1.0
"@00000100001110",2.0
"@00110011010011",-1.02
